quezstresser.com;ipstresser.com;vbooter.org;webstresser.co;beststresser.com;databooter.com;booter.xyz;networkstresser.com;boot4free.com;freebooter.co;ragebooter.net;instabooter.com;critical-boot.com;ddos.city;exostress.in;defcon.pro;str3ssed.me;exitus.to;boot.lu;quantumbooter.net;ghoststresser.com;ts3booter.net;k-stress.pw;stressboss.net;layer-4.com;anonymous-stresser.net;wifistruggles.com;booter.ninja;free-boot.xyz;ragebooter.com;ddos-ip.com;downthem.org;netbreak.ec
;;;;;100;;159;;;40;60;34.85;;40.5;;;;;15;90;;;;;;;;;40;;23.75;
;;;;;150;;236;;;60;120;39.95;;87.75;;;;;30;110;;;;;;;;;60;;34;
;;;;;30;;231;;;80;180;44.2;;162;;;;;30;120;;;;;;;;;80;;45;
;;;;;50;;300;;;150;240;48.45;;243;;;;;45;220;;;;;;;;;150;;45;
;;;;;100;;;;;20;80;53.55;;48.6;;;;;60;42;;;;;;;;;20;;30;
;;;;;50;;;;;30;160;57.8;;102.6;;;;;80;48;;;;;;;;;30;;20;
;;;;;100;;;;;40;200;62.05;;202.5;;;;;110;53;;;;;;;;;40;;60;
;;;;;175;;;;;100;300;66.3;;297;;;;;90;58;;;;;;;;;100;;;
;;;;;80;;;;;250;60;69.7;;36;;;;;30;68;;;;;;;;;250;;;
;;;;;150;;;;;300;120;37.4;;77.4;;;;;60;98;;;;;;;;;300;;;
;;;;;250;;;;;;165;46.75;;144;;;;;90;108;;;;;;;;;;;;
;;;;;50;;;;;;300;51.85;;234;;;;;60;128;;;;;;;;;;;;
;;;;;90;;;;;;100;56.95;;54;;;;;80;138;;;;;;;;;;;;
;;;;;160;;;;;;200;61.2;;117;;;;;110;238;;;;;;;;;;;;
;;;;;85;;;;;;250;65.45;;216;;;;;130;54;;;;;;;;;;;;
;;;;;160;;;;;;500;69.7;;324;;;;;150;60;;;;;;;;;;;;
;;;;;215;;;;;;135;73.95;;64.8;;;;;50;65;;;;;;;;;;;;
;;;;;125;;;;;;270;78.2;;136.8;;;;;70;70;;;;;;;;;;;;
;;;;;230;;;;;;320;82.45;;270;;;;;70;80;;;;;;;;;;;;
;;;;;300;;;;;;600;49.3;;396;;;;;90;110;;;;;;;;;;;;
;;;;;150;;;;;;100;59.5;;22.5;;;;;90;120;;;;;;;;;;;;
;;;;;300;;;;;;200;64.6;;52.5;;;;;130;140;;;;;;;;;;;;
;;;;;600;;;;;;250;68.85;;90;;;;;170;150;;;;;;;;;;;;
;;;;;;;;;;;500;73.95;;150;;;;;190;250;;;;;;;;;;;;
;;;;;;;;;;;175;78.2;;33.75;;;;;70;74;;;;;;;;;;;;
;;;;;;;;;;;350;82.45;;75;;;;;90;80;;;;;;;;;;;;
;;;;;;;;;;;400;86.7;;105;;;;;90;85;;;;;;;;;;;;
;;;;;;;;;;;800;90.95;;172.5;;;;;130;90;;;;;;;;;;;;
;;;;;;;;;;;150;95.2;;41.25;;;;;130;100;;;;;;;;;;;;
;;;;;;;;;;;300;27.2;;90;;;;;160;130;;;;;;;;;;;;
;;;;;;;;;;;600;37.4;;135;;;;;220;140;;;;;;;;;;;;
;;;;;;;;;;;;42.5;;225;;;;;250;160;;;;;;;;;;;;
;;;;;;;;;;;;46.75;;40.5;;;;;;170;;;;;;;;;;;;
;;;;;;;;;;;;51.85;;94.5;;;;;;270;;;;;;;;;;;;
;;;;;;;;;;;;56.1;;162;;;;;;94;;;;;;;;;;;;
;;;;;;;;;;;;60.35;;270;;;;;;100;;;;;;;;;;;;
;;;;;;;;;;;;64.6;;60.75;;;;;;105;;;;;;;;;;;;
;;;;;;;;;;;;68.85;;135;;;;;;110;;;;;;;;;;;;
;;;;;;;;;;;;73.1;;189;;;;;;120;;;;;;;;;;;;
;;;;;;;;;;;;55.25;;310.5;;;;;;150;;;;;;;;;;;;
;;;;;;;;;;;;65.45;;74.25;;;;;;160;;;;;;;;;;;;
;;;;;;;;;;;;69.7;;162;;;;;;180;;;;;;;;;;;;
;;;;;;;;;;;;74.8;;243;;;;;;190;;;;;;;;;;;;
;;;;;;;;;;;;79.05;;405;;;;;;290;;;;;;;;;;;;
;;;;;;;;;;;;83.3;;54;;;;;;114;;;;;;;;;;;;
;;;;;;;;;;;;88.4;;126;;;;;;120;;;;;;;;;;;;
;;;;;;;;;;;;92.65;;216;;;;;;125;;;;;;;;;;;;
;;;;;;;;;;;;96.05;;60;;;;;;130;;;;;;;;;;;;
;;;;;;;;;;;;100.3;;81;;;;;;140;;;;;;;;;;;;
;;;;;;;;;;;;82.45;;180;;;;;;170;;;;;;;;;;;;
;;;;;;;;;;;;92.65;;252;;;;;;180;;;;;;;;;;;;
;;;;;;;;;;;;97.75;;60;;;;;;200;;;;;;;;;;;;
;;;;;;;;;;;;102;;99;;;;;;210;;;;;;;;;;;;
;;;;;;;;;;;;107.1;;216;;;;;;310;;;;;;;;;;;;
;;;;;;;;;;;;111.35;;324;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;115.6;;540;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;119.85;;82.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;124.1;;150;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;128.35;;225;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;110.5;;48.75;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;119.85;;104.54;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;124.95;;187.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;130.05;;300;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;134.3;;60;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;138.55;;135;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;142.8;;265.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;147.05;;337.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;151.3;;67.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;155.55;;148.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;35.7;;270;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;45.05;;405;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;50.15;;87.75;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;54.4;;188.16;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;59.5;;337.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;63.75;;540;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;68;;108;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;72.25;;243;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;76.5;;472.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;80.75;;607.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;70.55;;90;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;80.75;;198;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;85.85;;360;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;90.1;;540;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;94.35;;117;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;99.45;;250.88;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;103.7;;450;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;107.95;;720;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;112.2;;144;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;115.6;;324;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;106.25;;630;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;115.6;;810;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;120.7;;67.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;125.8;;150;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;130.05;;262.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;134.3;;412.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;138.55;;90;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;142.8;;195;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;147.05;;300;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;151.3;;450;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;141.1;;112.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;151.3;;225;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;156.4;;420;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;160.65;;631.04;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;165.75;;121.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;170;;270;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;174.25;;472.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;178.5;;742.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;182.75;;162;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;187;;351;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;227.8;;540;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;373.65;;810;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;470.9;;202.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;455.6;;405;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;617.95;;756;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;926.5;;1135.86;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;684.25;;162;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;922.25;;360;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;1382.95;;630;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;990;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;216;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;468;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;720;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1080;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;270;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;540;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1008;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1514.48;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;97.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;202.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;375;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;600;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;112.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;240;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;450;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;750;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;127.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;270;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;525;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;825;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;175.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;364.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;675;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1080;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;202.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;432;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;810;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1350;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;229.5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;486;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;945;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1485;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;234;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;486;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;900;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1440;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;270;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;576;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1080;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1800;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;306;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;648;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1260;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;1980;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;275;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;250;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;420;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;325;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;575;;;;;;;;;;;;;;;;;;
