Bulk mode; whois.cymru.com [2018-02-23 15:47:00 +0000]
13335   | 104.27.182.246   | 104.27.176.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.58.192   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.118   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13789   | 74.201.154.201   | 74.201.128.0/17     | US | arin     | 2006-11-13 | INTERNAP-BLK3 - Internap Network Services Corporation, US
16276   | 37.59.90.60      | 37.59.0.0/16        | FR | ripencc  | 2012-01-16 | OVH, FR
16276   | 51.254.119.204   | 51.254.0.0/15       | FR | ripencc  | 1993-09-01 | OVH, FR
13335   | 104.28.3.118     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
NA      | 127.69.91.210    | NA                  |    | other    |            | NA
13335   | 104.28.2.118     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.58.140   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.128   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.24.100.82    | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.24.101.82    | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
25369   | 217.146.91.36    | 217.146.80.0/20     | GB | ripencc  | 2004-04-21 | BANDWIDTH-AS, GB
43350   | 46.166.188.69    | 46.166.184.0/21     | NL | ripencc  | 2010-12-16 | NFORCE, NL
13335   | 173.245.58.233   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.186   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.28.26.164    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.28.27.164    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.25.72.31     | 104.25.64.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
49349   | 185.61.137.60    | 185.61.137.0/24     | UA | ripencc  | 2014-06-20 | DOTSI, PT
13335   | 173.245.58.81    | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.209   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
49349   | 185.62.188.4     | 185.62.188.0/24     | NL | ripencc  | 2014-07-02 | DOTSI, PT
26496   | 208.109.255.48   | 208.109.255.0/24    | US | arin     | 2006-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 216.69.185.48    | 216.69.185.0/24     | US | arin     | 2004-05-24 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 50.63.202.41     | 50.63.202.0/24      | US | arin     | 2011-02-02 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 68.178.213.203   | 68.178.212.0/22     | US | arin     | 2005-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 68.178.213.243   | 68.178.212.0/22     | US | arin     | 2005-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 68.178.213.244   | 68.178.212.0/22     | US | arin     | 2005-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 68.178.213.37    | 68.178.212.0/22     | US | arin     | 2005-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 72.167.238.29    | 72.167.236.0/22     | US | arin     | 2007-07-05 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 72.167.238.32    | 72.167.236.0/22     | US | arin     | 2007-07-05 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
13335   | 104.24.110.199   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
19975   | 162.222.171.206  | 162.222.168.0/22    | US | arin     | 2013-10-04 | CASCADELINK - CASCADELINK INC, US
13335   | 104.25.23.106    | 104.25.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
NA      | 108.162.203.170  | NA                  | US | arin     | 2011-10-28 | NA
13335   | 104.24.111.199   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.58.172   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.142   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
198949  | 185.70.40.18     | 185.70.40.0/24      | CH | ripencc  | 2014-09-15 | VS-AS, IL
198949  | 185.70.40.22     | 185.70.40.0/24      | CH | ripencc  | 2014-09-15 | VS-AS, IL
198949  | 185.70.40.27     | 185.70.40.0/24      | CH | ripencc  | 2014-09-15 | VS-AS, IL
13335   | 104.28.28.34     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.28.29.34     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.58.134   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.104   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
30148   | 192.124.249.4    | 192.124.249.0/24    | US | arin     | 2015-04-01 | SUCURI-SEC - Sucuri, US
13335   | 104.18.34.67     | 104.18.32.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.24.110.174   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
22612   | 162.255.119.248  | 162.255.119.0/24    | US | arin     | 2014-05-14 | NAMECHEAP-NET - Namecheap, Inc., US
30148   | 192.161.0.13     | 192.161.0.0/24      | US | arin     | 2015-07-10 | SUCURI-SEC - Sucuri, US
30148   | 192.161.0.17     | 192.161.0.0/24      | US | arin     | 2015-07-10 | SUCURI-SEC - Sucuri, US
30148   | 192.161.0.18     | 192.161.0.0/24      | US | arin     | 2015-07-10 | SUCURI-SEC - Sucuri, US
30148   | 192.161.0.19     | 192.161.0.0/24      | US | arin     | 2015-07-10 | SUCURI-SEC - Sucuri, US
30148   | 192.124.249.2    | 192.124.249.0/24    | US | arin     | 2015-04-01 | SUCURI-SEC - Sucuri, US
30148   | 192.161.0.12     | 192.161.0.0/24      | US | arin     | 2015-07-10 | SUCURI-SEC - Sucuri, US
30148   | 192.161.0.14     | 192.161.0.0/24      | US | arin     | 2015-07-10 | SUCURI-SEC - Sucuri, US
30148   | 192.161.0.16     | 192.161.0.0/24      | US | arin     | 2015-07-10 | SUCURI-SEC - Sucuri, US
13335   | 104.18.56.17     | 104.18.48.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.18.57.17     | 104.18.48.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
19551   | 149.126.72.173   | 149.126.72.0/24     | IL | ripencc  | 2011-07-28 | INCAPSULA - Incapsula Inc, US
60503   | 185.30.165.39    | 185.30.165.0/24     | DE | ripencc  | 2013-07-11 | FNXTEC, DE
13335   | 190.93.254.149   | 190.93.240.0/20     | CR | lacnic   | 2012-03-19 | CLOUDFLARENET - Cloudflare, Inc., US
40065   | 198.12.15.150    | 198.12.15.0/24      | US | arin     | 2012-10-29 | CNSERVERS - CNSERVERS LLC, US
16125   | 5.199.170.190    | 5.199.168.0/22      | LT | ripencc  | 2012-08-28 | CHERRYSERVERS1-AS, LT
29073   | 94.102.51.123    | 94.102.48.0/20      | NL | ripencc  | 2008-08-29 | QUASINETWORKS, NL
13335   | 173.245.58.217   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.156   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.23.129.77    | 104.23.128.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.23.130.77    | 104.23.128.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
NA      | 127.80.146.52    | NA                  |    | other    |            | NA
13335   | 141.101.121.251  | 141.101.120.0/22    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 141.101.121.252  | 141.101.120.0/22    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - Cloudflare, Inc., US
16406   | 199.193.205.20   | 199.193.204.0/22    | US | arin     | 2011-09-09 | AS-INTERMEDIA - Intermedia.net, Inc., US
16406   | 64.78.52.21      | 64.78.0.0/18        | US | arin     | 2000-04-25 | AS-INTERMEDIA - Intermedia.net, Inc., US
16406   | 64.78.52.23      | 64.78.0.0/18        | US | arin     | 2000-04-25 | AS-INTERMEDIA - Intermedia.net, Inc., US
13335   | 104.23.130.78    | 104.23.128.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.23.131.47    | 104.23.128.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 141.101.112.86   | 141.101.112.0/23    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 141.101.121.237  | 141.101.120.0/22    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 190.93.250.7     | 190.93.240.0/20     | CR | lacnic   | 2012-03-19 | CLOUDFLARENET - Cloudflare, Inc., US
NA      | 198.41.184.253   | NA                  | US | arin     | 2012-10-09 | NA
19780   | 162.244.197.199  | 162.244.196.0/22    | US | arin     | 2014-03-19 | AS-INTERMEDIA2 - Intermedia.net, Inc., US
16406   | 199.193.200.97   | 199.193.200.0/22    | US | arin     | 2011-09-09 | AS-INTERMEDIA - Intermedia.net, Inc., US
16406   | 64.78.52.22      | 64.78.0.0/18        | US | arin     | 2000-04-25 | AS-INTERMEDIA - Intermedia.net, Inc., US
14061   | 162.243.233.121  | 162.243.192.0/18    | US | arin     | 2013-09-06 | DIGITALOCEAN-ASN - DigitalOcean, LLC, US
14061   | 45.55.222.213    | 45.55.192.0/18      | US | arin     | 2015-02-05 | DIGITALOCEAN-ASN - DigitalOcean, LLC, US
13335   | 104.31.14.174    | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.31.15.174    | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.28.2.61      | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.31.224.2     | 104.31.224.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
NA      | 108.162.192.93   | NA                  | US | arin     | 2011-10-28 | NA
13335   | 141.101.118.56   | 141.101.112.0/20    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - Cloudflare, Inc., US
40065   | 162.252.9.210    | 162.252.9.0/24      | US | arin     | 2014-01-17 | CNSERVERS - CNSERVERS LLC, US
395747  | 173.245.60.31    | 173.245.60.0/23     | US | arin     | 2010-12-28 | CLOUDFLARENET-SFO05 - Cloudflare, Inc., US
60503   | 185.30.165.30    | 185.30.165.0/24     | DE | ripencc  | 2013-07-11 | FNXTEC, DE
NA      | 199.27.134.26    | NA                  | US | arin     | 2010-08-19 | NA
NA      | 199.27.134.97    | NA                  | US | arin     | 2010-08-19 | NA
16276   | 5.196.20.50      | 5.196.0.0/16        | FR | ripencc  | 2012-08-23 | OVH, FR
13335   | 104.31.6.158     | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.31.7.158     | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
14618   | 54.152.241.16    | 54.152.0.0/16       | US | arin     | 2014-10-23 | AMAZON-AES - Amazon.com, Inc., US
13789   | 70.42.74.203     | 70.42.74.0/24       | US | arin     | 2005-09-29 | INTERNAP-BLK3 - Internap Network Services Corporation, US
15169   | 8.8.8.8          | 8.8.8.0/24          | US | arin     | 1992-12-01 | GOOGLE - Google LLC, US
NA      | 108.162.194.38   | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.194.63   | NA                  | US | arin     | 2011-10-28 | NA
13335   | 141.101.118.176  | 141.101.112.0/20    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 141.101.118.190  | 141.101.112.0/20    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - Cloudflare, Inc., US
395747  | 173.245.60.12    | 173.245.60.0/23     | US | arin     | 2010-12-28 | CLOUDFLARENET-SFO05 - Cloudflare, Inc., US
395747  | 173.245.60.145   | 173.245.60.0/23     | US | arin     | 2010-12-28 | CLOUDFLARENET-SFO05 - Cloudflare, Inc., US
395747  | 173.245.60.36    | 173.245.60.0/23     | US | arin     | 2010-12-28 | CLOUDFLARENET-SFO05 - Cloudflare, Inc., US
13335   | 198.41.200.65    | 198.41.200.0/21     | US | arin     | 2012-10-09 | CLOUDFLARENET - Cloudflare, Inc., US
NA      | 199.27.134.112   | NA                  | US | arin     | 2010-08-19 | NA
NA      | 199.27.134.77    | NA                  | US | arin     | 2010-08-19 | NA
14586   | 74.91.124.108    | 74.91.124.0/24      | US | arin     | 2011-04-13 | NUCLEARFALLOUT-CHI - Nuclearfallout Enterprises, Inc., US
13335   | 173.245.58.146   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.134   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
2639    | 204.141.33.55    | 204.141.33.0/24     | US | arin     | 1994-09-07 | ZOHO-AS - ZOHO, US
2639    | 216.52.72.121    | 216.52.72.0/24      | US | arin     | 1998-08-24 | ZOHO-AS - ZOHO, US
13335   | 104.31.14.154    | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.31.15.154    | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.27.199.87    | 104.27.192.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
NA      | 108.162.192.16   | NA                  | US | arin     | 2011-10-28 | NA
13335   | 141.101.118.130  | 141.101.112.0/20    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 141.101.120.10   | 141.101.120.0/22    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 141.101.121.199  | 141.101.120.0/22    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - Cloudflare, Inc., US
395747  | 173.245.60.194   | 173.245.60.0/23     | US | arin     | 2010-12-28 | CLOUDFLARENET-SFO05 - Cloudflare, Inc., US
395747  | 173.245.60.220   | 173.245.60.0/23     | US | arin     | 2010-12-28 | CLOUDFLARENET-SFO05 - Cloudflare, Inc., US
395747  | 173.245.60.223   | 173.245.60.0/23     | US | arin     | 2010-12-28 | CLOUDFLARENET-SFO05 - Cloudflare, Inc., US
395747  | 173.245.60.63    | 173.245.60.0/23     | US | arin     | 2010-12-28 | CLOUDFLARENET-SFO05 - Cloudflare, Inc., US
49349   | 185.11.145.29    | 185.11.145.0/24     | NL | ripencc  | 2012-11-29 | DOTSI, PT
49349   | 185.11.145.4     | 185.11.145.0/24     | NL | ripencc  | 2012-11-29 | DOTSI, PT
395747  | 198.41.132.25    | 198.41.132.0/22     | US | arin     | 2012-10-09 | CLOUDFLARENET-SFO05 - Cloudflare, Inc., US
NA      | 198.41.177.152   | NA                  | US | arin     | 2012-10-09 | NA
NA      | 199.27.134.175   | NA                  | US | arin     | 2010-08-19 | NA
NA      | 199.27.134.182   | NA                  | US | arin     | 2010-08-19 | NA
13335   | 173.245.58.121   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.100   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
15169   | 209.85.203.26    | 209.85.203.0/24     | US | arin     | 2006-01-13 | GOOGLE - Google LLC, US
15169   | 64.233.190.27    | 64.233.190.0/24     | US | arin     | 2003-08-18 | GOOGLE - Google LLC, US
15169   | 74.125.22.26     | 74.125.0.0/16       | US | arin     | 2007-03-13 | GOOGLE - Google LLC, US
13335   | 104.24.106.171   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.24.107.171   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.27.170.40    | 104.27.160.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
NA      | 108.162.194.10   | NA                  | US | arin     | 2011-10-28 | NA
30823   | 178.251.228.228  | 178.251.228.0/24    | DE | ripencc  | 2010-06-30 | COMBAHTON combahton IT Services UG (haftungsbeschraenkt), DE
13335   | 173.245.58.143   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.145   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.18.42.35     | 104.18.32.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.18.43.35     | 104.18.32.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.28.8.126     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
NA      | 108.162.192.88   | NA                  | US | arin     | 2011-10-28 | NA
NA      | 199.27.134.27    | NA                  | US | arin     | 2010-08-19 | NA
13335   | 173.245.58.103   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.119   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13789   | 74.201.154.248   | 74.201.128.0/17     | US | arin     | 2006-11-13 | INTERNAP-BLK3 - Internap Network Services Corporation, US
46573   | 104.148.77.6     | 104.148.77.0/24     | US | arin     | 2014-07-07 | GLOBAL-FRAG-NETWORKS - Global Frag Networks, US
203391  | 185.136.96.77    | 185.136.96.0/24     | BG | ripencc  | 2016-01-28 | CLOUDNSNET, BG
203391  | 185.136.97.77    | 185.136.97.0/24     | BG | ripencc  | 2016-01-28 | CLOUDNSNET, BG
46573   | 104.148.77.2     | 104.148.77.0/24     | US | arin     | 2014-07-07 | GLOBAL-FRAG-NETWORKS - Global Frag Networks, US
46573   | 192.200.222.98   | 192.200.222.0/24    | US | arin     | 2013-07-17 | GLOBAL-FRAG-NETWORKS - Global Frag Networks, US
13335   | 104.28.12.7      | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 104.28.13.7      | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
16276   | 164.132.209.38   | 164.132.0.0/16      | FR | ripencc  | 1993-04-23 | OVH, FR
NA      | 108.162.194.72   | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.198.124  | NA                  | US | arin     | 2011-10-28 | NA
NA      | 199.27.134.111   | NA                  | US | arin     | 2010-08-19 | NA
13335   | 173.245.58.101   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
13335   | 173.245.59.139   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - Cloudflare, Inc., US
