Bulk mode; xp05-as26.svcs.ord08.cymru.com [2017-02-04 17:27:22 +0000]
13335   | 104.31.6.187     | 104.31.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.26.6      | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.182.7     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 108.162.192.129  | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.207.246  | NA                  | US | arin     | 2011-10-28 | NA
NA      | 198.41.130.95    | NA                  | US | arin     | 2012-10-09 | NA
13335   | 104.25.224.34    | 104.25.224.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.25.225.34    | 104.25.224.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
2639    | 165.254.168.50   | 165.254.168.0/24    | US | arin     |            | ZOHO-AS - ZOHO, US
13335   | 173.245.58.192   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.118   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
2639    | 74.201.154.201   | 74.201.154.0/24     | US | arin     | 2006-11-13 | ZOHO-AS - ZOHO, US
16276   | 37.59.90.60      | 37.59.0.0/16        | FR | ripencc  | 2012-01-16 | OVH , FR
16276   | 51.254.119.204   | 51.254.0.0/15       | FR | ripencc  |            | OVH , FR
13335   | 104.27.164.82    | 104.27.160.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.165.82    | 104.27.160.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.211   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.74    | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.68.33     | 104.31.64.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.69.33     | 104.31.64.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 108.162.192.82   | NA                  | US | arin     | 2011-10-28 | NA
13335   | 173.245.58.155   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.219   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.3.118     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 127.69.91.210    | NA                  |    | other    |            | NA
13335   | 104.28.2.118     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.140   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.144.44    | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.145.44    | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.2.78      | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.20.66     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 108.162.194.148  | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.203.152  | NA                  | US | arin     | 2011-10-28 | NA
NA      | 173.245.60.65    | NA                  | US | arin     | 2010-12-28 | NA
13335   | 190.93.248.33    | 190.93.240.0/20     | CR | lacnic   | 2012-03-19 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 190.93.248.56    | 190.93.240.0/20     | CR | lacnic   | 2012-03-19 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 190.93.252.130   | 190.93.240.0/20     | CR | lacnic   | 2012-03-19 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 190.93.254.26    | 190.93.240.0/20     | CR | lacnic   | 2012-03-19 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 198.41.184.83    | NA                  | US | arin     | 2012-10-09 | NA
200039  | 82.196.16.29     | 82.196.16.0/24      | FR | ripencc  | 2003-10-27 | HYDRACOM-AS , GB
13335   | 173.245.58.217   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.156   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.24.100.82    | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.24.101.82    | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
25369   | 217.146.91.36    | 217.146.91.0/24     | GB | ripencc  | 2004-04-21 | BANDWIDTH-AS , GB
43350   | 46.166.188.69    | 46.166.184.0/21     | NL | ripencc  | 2010-12-16 | NFORCE , NL
13335   | 173.245.58.233   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.186   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.26.164    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.27.164    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.25.72.31     | 104.25.64.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
49349   | 185.61.137.60    | 185.61.137.0/24     | UA | ripencc  | 2014-06-20 | DOTSI , PT
13335   | 173.245.58.81    | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.209   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
49349   | 185.62.188.4     | 185.62.188.0/24     | NL | ripencc  | 2014-07-02 | DOTSI , PT
13335   | 104.27.146.195   | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.18.52.45     | 104.18.48.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.147.195   | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.131   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.181   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.12.57     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.13.57     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.123   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.119   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.12.94     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 108.162.198.191  | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.200.205  | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.207.87   | NA                  | US | arin     | 2011-10-28 | NA
13335   | 162.159.245.161  | 162.159.128.0/17    | US | arin     | 2013-05-23 | CLOUDFLARENET - CloudFlare, Inc., US
32787   | 209.200.154.3    | 209.200.154.0/24    | US | arin     | 2004-06-25 | PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US
13335   | 104.27.150.182   | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.151.182   | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.16.125    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.248   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
49349   | 185.62.190.25    | 185.62.190.0/24     | NL | ripencc  | 2014-07-02 | DOTSI , PT
13335   | 104.24.110.249   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.24.111.249   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.10.22     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.16.182    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.18.76     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.70.246    | 104.31.64.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 108.162.207.214  | NA                  | US | arin     | 2011-10-28 | NA
13335   | 141.101.116.113  | 141.101.112.0/20    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 141.101.118.136  | 141.101.112.0/20    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - CloudFlare, Inc., US
40065   | 162.212.253.166  | 162.212.253.0/24    | US | arin     | 2013-05-29 | CNSERVERS - CNSERVERS LLC, US
40065   | 162.218.48.170   | 162.218.48.0/24     | US | arin     | 2013-08-01 | CNSERVERS - CNSERVERS LLC, US
21740   | 98.124.253.216   | 98.124.253.0/24     | US | arin     | 2008-06-17 | ENOMAS1 - eNom, Incorporated, US
13335   | 173.245.58.199   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.147   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.24.6      | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.25.6      | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 199.27.134.117   | NA                  | US | arin     | 2010-08-19 | NA
13335   | 173.245.58.139   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.148   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.25.230.11    | 104.25.224.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.25.231.11    | 104.25.224.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.208   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.229   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
26496   | 208.109.4.222    | 208.109.4.0/23      | US | arin     | 2006-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
13335   | 104.28.28.114    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.29.114    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
26496   | 173.201.192.148  | 173.201.192.0/22    | US | arin     | 2009-09-18 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
13335   | 173.245.58.212   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.60    | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
26496   | 68.178.213.203   | 68.178.212.0/22     | US | arin     | 2005-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 68.178.213.243   | 68.178.212.0/22     | US | arin     | 2005-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 68.178.213.244   | 68.178.212.0/22     | US | arin     | 2005-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 68.178.213.37    | 68.178.212.0/22     | US | arin     | 2005-04-12 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 72.167.238.29    | 72.167.236.0/22     | US | arin     | 2007-07-05 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
26496   | 72.167.238.32    | 72.167.236.0/22     | US | arin     | 2007-07-05 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
13335   | 104.24.110.199   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
19975   | 162.222.171.206  | 162.222.168.0/22    | US | arin     | 2013-10-04 | CASCADELINK - CASCADELINK INC, US
13335   | 104.25.23.106    | 104.25.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 108.162.203.170  | NA                  | US | arin     | 2011-10-28 | NA
13335   | 104.24.111.199   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.172   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.142   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
198949  | 185.70.40.18     | 185.70.40.0/24      | CH | ripencc  | 2014-09-15 | VS-AS , IL
198949  | 185.70.40.22     | 185.70.40.0/24      | CH | ripencc  | 2014-09-15 | VS-AS , IL
198949  | 185.70.40.27     | 185.70.40.0/24      | CH | ripencc  | 2014-09-15 | VS-AS , IL
13335   | 104.28.16.126    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 108.162.194.54   | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.196.126  | NA                  | US | arin     | 2011-10-28 | NA
NA      | 108.162.196.23   | NA                  | US | arin     | 2011-10-28 | NA
13335   | 162.159.241.239  | 162.159.128.0/17    | US | arin     | 2013-05-23 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 173.245.60.203   | NA                  | US | arin     | 2010-12-28 | NA
NA      | 199.27.134.111   | NA                  | US | arin     | 2010-08-19 | NA
NA      | 199.27.134.152   | NA                  | US | arin     | 2010-08-19 | NA
13335   | 104.28.17.126    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.58.132   | 173.245.58.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 173.245.59.117   | 173.245.59.0/24     | US | arin     | 2010-12-28 | CLOUDFLARENET - CloudFlare, Inc., US
16276   | 91.121.137.27    | 91.121.0.0/16       | FR | ripencc  | 2006-09-20 | OVH , FR
13335   | 104.28.24.49     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 141.101.116.66   | 141.101.112.0/20    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 190.93.254.76    | 190.93.240.0/20     | CR | lacnic   | 2012-03-19 | CLOUDFLARENET - CloudFlare, Inc., US
NA      | 198.41.184.120   | NA                  | US | arin     | 2012-10-09 | NA
13335   | 104.28.30.112    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.31.112    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.6.123     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
