Bulk mode; xp05-as26.svcs.ord08.cymru.com [2017-01-31 20:11:43 +0000]
394695  | 209.99.17.27     | 209.99.17.0/24      | US | arin     | 2000-08-23 | PUBLIC-DOMAIN-REGISTRY - PDR, US
13335   | 104.27.146.195   | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
26496   | 184.168.221.73   | 184.168.220.0/22    | US | arin     | 2010-09-21 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
13335   | 104.28.24.6      | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
16509   | 54.72.130.67     | 54.72.0.0/16        | US | arin     | 2013-11-25 | AMAZON-02 - Amazon.com, Inc., US
13335   | 104.27.151.182   | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
4766    | 183.111.166.70   | 183.104.0.0/13      | KR | apnic    | 2009-11-04 | KIXS-AS-KR Korea Telecom, KR
38365   | 180.76.183.17    | 180.76.128.0/17     | CN | apnic    | 2009-07-15 | CNNIC-BAIDU-AP Beijing Baidu Netcom Science and Technology Co., Ltd., CN
26496   | 50.63.202.41     | 50.63.200.0/22      | US | arin     | 2011-02-02 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
13335   | 104.28.13.57     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
21740   | 98.124.243.37    | 98.124.243.0/24     | US | arin     | 2008-06-17 | ENOMAS1 - eNom, Incorporated, US
13335   | 104.24.110.249   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
61969   | 185.53.179.8     | 185.53.176.0/22     | DE | ripencc  | 2014-04-11 | TEAMINTERNET-AS , DE
60592   | 185.28.193.192   | 185.28.193.0/24     | CZ | ripencc  | 2013-06-18 | GRANSY Casablanca, CZ
21740   | 8.5.1.40         | 8.5.0.0/23          | US | arin     |            | ENOMAS1 - eNom, Incorporated, US
21740   | 98.124.243.30    | 98.124.243.0/24     | US | arin     | 2008-06-17 | ENOMAS1 - eNom, Incorporated, US
13335   | 104.25.231.11    | 104.25.224.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.28.114    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
33070   | 23.253.126.58    | 23.253.64.0/18      | US | arin     | 2013-11-08 | RMH-14 - Rackspace Hosting, US
40034   | 141.8.224.169    | 141.8.224.0/21      | CH | ripencc  | 2011-09-21 | CONFLUENCE-NETWORK-INC - Confluence Networks Inc, VG
13335   | 104.28.16.126    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.30.112    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
16276   | 192.99.246.114   | 192.99.0.0/16       | CA | arin     | 2013-06-17 | OVH , FR
13335   | 104.28.7.123     | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
200719  | 185.39.139.35    | 185.39.136.0/22     | SE | ripencc  | 2013-10-31 | MISSDOMAIN , SE
13335   | 104.28.29.34     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
14618   | 52.54.132.83     | 52.54.0.0/15        | US | arin     | 2015-09-02 | AMAZON-AES - Amazon.com, Inc., US
21740   | 8.5.1.33         | 8.5.0.0/23          | US | arin     |            | ENOMAS1 - eNom, Incorporated, US
40034   | 141.8.224.93     | 141.8.224.0/21      | CH | ripencc  | 2011-09-21 | CONFLUENCE-NETWORK-INC - Confluence Networks Inc, VG
51468   | 104.37.35.95     | 104.37.32.0/21      | US | arin     | 2014-06-23 | ONECOM , DK
13335   | 104.27.138.7     | 104.27.128.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
49349   | 188.209.52.247   | 188.209.52.0/24     | NL | ripencc  | 2009-05-08 | DOTSI , PT
50673   | 46.249.36.104    | 46.249.32.0/19      | NL | ripencc  | 2010-12-29 | SERVERIUS-AS , NL
133618  | 103.224.182.246  | 103.224.182.0/23    | AU | apnic    | 2014-01-24 | TRELLIAN-AS-AP Trellian Pty. Limited, AU
133618  | 103.224.182.235  | 103.224.182.0/23    | AU | apnic    | 2014-01-24 | TRELLIAN-AS-AP Trellian Pty. Limited, AU
61969   | 185.53.178.14    | 185.53.176.0/22     | DE | ripencc  | 2014-04-11 | TEAMINTERNET-AS , DE
30148   | 192.124.249.2    | 192.124.249.0/24    | US | arin     | 2015-04-01 | SUCURI-SEC - Sucuri, US
13335   | 104.28.5.67      | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
21740   | 8.5.1.30         | 8.5.0.0/23          | US | arin     |            | ENOMAS1 - eNom, Incorporated, US
13335   | 104.27.164.96    | 104.27.160.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.19.61     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
15598   | 89.31.143.16     | 89.31.136.0/21      | DE | ripencc  | 2006-09-11 | QSC-AG-IPX , DE
13335   | 104.18.56.17     | 104.18.48.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
133618  | 103.224.182.228  | 103.224.182.0/23    | AU | apnic    | 2014-01-24 | TRELLIAN-AS-AP Trellian Pty. Limited, AU
22612   | 162.255.119.248  | 162.255.119.0/24    | US | arin     | 2014-05-14 | NAMECHEAP-NET - Namecheap, Inc., US
10732   | 216.104.165.20   | 216.104.160.0/19    | US | arin     | 2000-07-17 | TIERRANET - TierraNet Inc., US
21740   | 8.5.1.42         | 8.5.0.0/23          | US | arin     |            | ENOMAS1 - eNom, Incorporated, US
13335   | 104.24.27.102    | 104.24.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 141.101.121.252  | 141.101.120.0/22    | EU | ripencc  | 2011-06-23 | CLOUDFLARENET - CloudFlare, Inc., US
40034   | 204.11.56.48     | 204.11.56.0/23      | VG | arin     | 2012-09-24 | CONFLUENCE-NETWORK-INC - Confluence Networks Inc, VG
13335   | 104.28.20.49     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.18.62.3      | 104.18.48.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.18.56.203    | 104.18.48.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
22612   | 198.54.117.212   | 198.54.117.0/24     | US | arin     | 2015-11-13 | NAMECHEAP-NET - Namecheap, Inc., US
13335   | 104.28.15.160    | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.22.91     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
21740   | 8.5.1.49         | 8.5.0.0/23          | US | arin     |            | ENOMAS1 - eNom, Incorporated, US
13335   | 104.18.52.124    | 104.18.48.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
24940   | 178.63.1.6       | 178.63.0.0/16       | DE | ripencc  | 2010-03-02 | HETZNER-AS , DE
13335   | 104.27.161.155   | 104.27.160.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.140.78    | 104.27.128.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
26496   | 184.168.221.64   | 184.168.220.0/22    | US | arin     | 2010-09-21 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
13335   | 104.27.181.126   | 104.27.176.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.142.217   | 104.27.128.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
36351   | 75.126.100.18    | 75.126.0.0/16       | US | arin     | 2006-05-12 | SOFTLAYER - SoftLayer Technologies Inc., US
22612   | 192.64.119.87    | 192.64.119.0/24     | US | arin     | 2012-12-17 | NAMECHEAP-NET - Namecheap, Inc., US
13335   | 104.31.15.174    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
21740   | 98.124.243.31    | 98.124.243.0/24     | US | arin     | 2008-06-17 | ENOMAS1 - eNom, Incorporated, US
13335   | 104.24.114.237   | 104.24.112.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
40034   | 141.8.224.221    | 141.8.224.0/21      | CH | ripencc  | 2011-09-21 | CONFLUENCE-NETWORK-INC - Confluence Networks Inc, VG
47583   | 31.170.164.161   | 31.170.164.0/24     | US | ripencc  | 2011-03-30 | HOSTINGER-AS , LT
40630   | 208.94.117.220   | 208.94.116.0/22     | US | arin     | 2008-08-28 | CAPEQUILOG - GridFury, LLC, US
133618  | 103.224.182.231  | 103.224.182.0/23    | AU | apnic    | 2014-01-24 | TRELLIAN-AS-AP Trellian Pty. Limited, AU
13335   | 104.28.8.7       | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
26496   | 184.168.221.32   | 184.168.220.0/22    | US | arin     | 2010-09-21 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
16276   | 167.114.210.98   | 167.114.0.0/16      | CA | arin     | 2014-08-29 | OVH , FR
13335   | 104.27.164.144   | 104.27.160.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
26496   | 184.168.221.35   | 184.168.220.0/22    | US | arin     | 2010-09-21 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
21740   | 8.5.1.39         | 8.5.0.0/23          | US | arin     |            | ENOMAS1 - eNom, Incorporated, US
13335   | 104.31.4.167     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.18.35.158    | 104.18.32.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.6.158     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.17.86     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.13.171    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.15.154    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
60781   | 95.211.219.66    | 95.211.0.0/16       | NL | ripencc  | 2009-02-05 | LEASEWEB-NL Netherlands, NL
22612   | 104.219.248.81   | 104.219.248.0/24    | US | arin     | 2014-11-03 | NAMECHEAP-NET - Namecheap, Inc., US
13335   | 104.31.4.184     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
133618  | 103.224.182.223  | 103.224.182.0/23    | AU | apnic    | 2014-01-24 | TRELLIAN-AS-AP Trellian Pty. Limited, AU
47583   | 31.170.160.61    | 31.170.160.0/22     | US | ripencc  | 2011-03-30 | HOSTINGER-AS , LT
13335   | 104.24.107.171   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.24.127.4     | 104.24.112.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.28.78     | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
133618  | 103.224.182.236  | 103.224.182.0/23    | AU | apnic    | 2014-01-24 | TRELLIAN-AS-AP Trellian Pty. Limited, AU
33070   | 104.130.124.96   | 104.130.124.0/22    | US | arin     | 2014-05-19 | RMH-14 - Rackspace Hosting, US
16276   | 167.114.156.214  | 167.114.0.0/16      | CA | arin     | 2014-08-29 | OVH , FR
201106  | 66.11.117.44     | 66.11.117.0/24      | US | arin     | 2015-03-09 | SPARTANHOST , GB
13335   | 104.18.42.35     | 104.18.32.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.175.82    | 104.27.160.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
58879   | 118.193.143.68   | 118.193.143.0/24    | CN | apnic    | 2007-10-19 | ANCHNET Shanghai Anchang Network Security Technology Co.,Ltd., CN
13335   | 104.27.148.143   | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
22612   | 162.255.119.250  | 162.255.119.0/24    | US | arin     | 2014-05-14 | NAMECHEAP-NET - Namecheap, Inc., US
32787   | 72.52.4.119      | 72.52.4.0/24        | US | arin     | 2005-07-11 | PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US
13335   | 104.18.37.164    | 104.18.32.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
46573   | 104.148.77.6     | 104.148.77.0/24     | US | arin     | 2014-07-07 | GLOBAL-FRAG-NETWORKS - Global Frag Networks, US
61969   | 185.53.179.6     | 185.53.176.0/22     | DE | ripencc  | 2014-04-11 | TEAMINTERNET-AS , DE
47583   | 31.170.163.90    | 31.170.160.0/22     | US | ripencc  | 2011-03-30 | HOSTINGER-AS , LT
133618  | 103.224.182.233  | 103.224.182.0/23    | AU | apnic    | 2014-01-24 | TRELLIAN-AS-AP Trellian Pty. Limited, AU
47583   | 31.170.163.150   | 31.170.160.0/22     | US | ripencc  | 2011-03-30 | HOSTINGER-AS , LT
13335   | 104.27.185.62    | 104.27.176.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
33387   | 192.151.147.242  | 192.151.144.0/20    | US | arin     | 2012-11-27 | DATASHACK - DataShack, LC, US
13335   | 104.24.96.99     | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
16276   | 5.39.99.51       | 5.39.0.0/17         | FR | ripencc  | 2012-05-15 | OVH , FR
16509   | 52.213.114.86    | 52.208.0.0/13       | US | arin     | 2015-09-02 | AMAZON-02 - Amazon.com, Inc., US
40034   | 141.8.225.124    | 141.8.224.0/21      | CH | ripencc  | 2011-09-21 | CONFLUENCE-NETWORK-INC - Confluence Networks Inc, VG
14618   | 52.3.82.39       | 52.2.0.0/15         | US | arin     |            | AMAZON-AES - Amazon.com, Inc., US
53665   | 199.59.243.120   | 199.59.243.0/24     | US | arin     | 2010-12-09 | BODIS-1 - Bodis, LLC, US
13335   | 104.28.13.7      | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.177.235   | 104.27.176.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.71.204    | 104.31.64.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.24.96.148    | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
51468   | 46.30.215.25     | 46.30.208.0/21      | DK | ripencc  | 2010-09-08 | ONECOM , DK
32787   | 72.52.4.120      | 72.52.4.0/24        | US | arin     | 2005-07-11 | PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US
26496   | 50.63.202.55     | 50.63.200.0/22      | US | arin     | 2011-02-02 | AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
27257   | 213.247.47.190   | 213.247.46.0/23     | NL | ripencc  | 2003-04-02 | WEBAIR-INTERNET - Webair Internet Development Company Inc., US
21740   | 98.124.243.36    | 98.124.243.0/24     | US | arin     | 2008-06-17 | ENOMAS1 - eNom, Incorporated, US
13335   | 104.31.9.173     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
14618   | 54.88.107.140    | 54.88.0.0/16        | US | arin     | 2013-11-25 | AMAZON-AES - Amazon.com, Inc., US
30148   | 192.124.249.4    | 192.124.249.0/24    | US | arin     | 2015-04-01 | SUCURI-SEC - Sucuri, US
61969   | 185.53.178.7     | 185.53.176.0/22     | DE | ripencc  | 2014-04-11 | TEAMINTERNET-AS , DE
61969   | 185.53.178.9     | 185.53.176.0/22     | DE | ripencc  | 2014-04-11 | TEAMINTERNET-AS , DE
13335   | 104.27.146.95    | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
32787   | 72.52.4.122      | 72.52.4.0/24        | US | arin     | 2005-07-11 | PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US
13335   | 104.24.101.82    | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.27.164    | 104.28.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.24.110.199   | 104.24.96.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
19867   | 192.64.147.150   | 192.64.147.0/24     | US | arin     | 2012-12-18 | VOODOO1 - Voodoo.com, Inc, US
133618  | 103.224.182.252  | 103.224.182.0/23    | AU | apnic    | 2014-01-24 | TRELLIAN-AS-AP Trellian Pty. Limited, AU
13335   | 104.27.133.54    | 104.27.128.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.9.161     | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
198375  | 185.81.156.51    | 185.81.156.0/22     | FR | ripencc  | 2014-12-17 | INU-AS , FR
13335   | 104.27.184.123   | 104.27.176.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.158.63    | 104.27.144.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.31.255.75    | 104.16.0.0/12       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.27.141.215   | 104.27.128.0/20     | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 104.28.8.84      | 104.28.0.0/20       | US | arin     | 2014-03-28 | CLOUDFLARENET - CloudFlare, Inc., US
